index,id,car_year,brand,brand_cod,model,model_cod,version,engine,engine_power,doors,km,fuel_type,fuel_type_cod,traction_control,traction_control_cod,passenger_capacity,transmission,transmission_cod,usd_price,is_car_shop,seller_country,seller_state,seller_city,Latitude,longitude
74,MLA1701511196,2013,Volkswagen,7,Gol,27,1.4 Power Ps+ac 83cv,1.4,83.0,5,186000,Nafta,4,Delantera,2,5.0,Manual,2,6215.139442231076,0,Argentina,Córdoba,Río Ceballos,-31.1709088,-64.3160951
75,MLA1422140095,2013,Volkswagen,7,Gol,27,1.4 Power 83cv 3 p,1.4,83.0,3,140000,Nafta,4,Delantera,2,5.0,Manual,2,6500.0,0,Argentina,Buenos Aires,Avellaneda,-34.6648394,-58.3628061
76,MLA1426392417,2020,Volkswagen,7,Gol,27,1.6 Trendline 5 p,1.6,101.0,5,91300,Nafta,4,Delantera,2,5.0,Manual,2,11713.147410358566,1,Argentina,Córdoba,Córdoba,-31.4166867,-64.1834193
77,MLA1419247805,2018,Volkswagen,7,Gol,27,1.6 Trendline,1.6,83.0,5,104000,Nafta,4,Delantera,2,5.0,Manual,2,8366.533864541832,0,Argentina,Córdoba,Córdoba,-31.4166867,-64.1834193
78,MLA1779914710,2012,Volkswagen,7,Gol,27,Power a/a d/h 2012,1.6,83.0,3,66000,Nafta,4,Delantera,2,5.0,Manual,2,6100.0,0,Argentina,Buenos Aires,La Matanza,-34.8195526,-58.1975499
79,MLA1744908226,2013,Volkswagen,7,Gol,27,1.4 Power 83cv 3 p,1.4,83.0,3,135000,Nafta,4,Delantera,2,5.0,Manual,2,5816.733067729084,0,Argentina,San Luis,San Luis,-33.3020736,-66.3369577
80,MLA1735291626,2008,Volkswagen,7,Gol,27,1.6 I Power 601,1.6,92.0,3,137000,Nafta,4,Delantera,2,5.0,Manual,2,3745.0199203187253,0,Argentina,Buenos Aires,Moreno,-34.6396556,-58.7898326
81,MLA1778245708,2020,Volkswagen,7,Gol,27,Gol trend 1.6,1.6,83.0,4,49500,Nafta,4,Delantera,2,5.0,Manual,2,13500.0,0,Argentina,Capital Federal,Capital Federal,-34.6037181,-58.38153
82,MLA1642496780,2011,Volkswagen,7,Gol,27,Trend,1.6,83.0,5,70000,Nafta,4,Delantera,2,5.0,Manual,2,5737.051792828685,0,Argentina,Corrientes,Mercedes,-29.1835645,-58.0799951
83,MLA1420778455,2019,Volkswagen,7,Gol,27,Trend Line,1.6,83.0,5,99000,Nafta,4,Delantera,2,5.0,Manual,2,9561.752988047809,0,Argentina,Buenos Aires,San Miguel,-34.540349,-58.7157491
84,MLA1420973549,2014,Volkswagen,7,Gol,27,Gol Trend 1.6,1.6,83.0,5,86400,Nafta/GNC,5,Delantera,2,5.0,Manual,2,10600.0,0,Argentina,Buenos Aires,Pilar,-34.4570918,-58.9141609
85,MLA1751911220,2012,Volkswagen,7,Gol,27,1.4 Power Ps+ac 83cv,1.4,83.0,5,150000,Nafta,4,Delantera,2,5.0,Manual,2,6300.0,0,Argentina,Buenos Aires,Tigre,-34.4226513,-58.5808967
86,MLA1423991991,2009,Volkswagen,7,Gol,27,1.6 I Power 701,1.6,92.0,3,111111,Nafta,4,Delantera,2,5.0,Manual,2,4382.470119521912,0,Argentina,Buenos Aires,General San Martín,-34.5762765,-58.5388435
87,MLA1416075429,2010,Volkswagen,7,Gol,27,trend pack 1,1.6,83.0,5,122000,Nafta,4,Delantera,2,5.0,Manual,2,5976.095617529881,0,Argentina,Buenos Aires,San Miguel,-34.540349,-58.7157491
88,MLA1767837202,2007,Volkswagen,7,Gol,27,1.6 I Power 601,1.6,92.0,3,150000,Nafta,4,Delantera,2,5.0,Manual,2,6500.0,0,Argentina,Buenos Aires,Pilar,-34.4570918,-58.9141609
89,MLA1763297754,2017,Volkswagen,7,Gol,27,1.6 TREND 5P L16,1.6,101.0,5,55000,Nafta,4,Delantera,2,5.0,Manual,2,10358.565737051793,0,Argentina,San Luis,General Pedernera,-33.8111563,-65.66695907743824
90,MLA1765983726,2006,Volkswagen,7,Gol,27,1.6 I Power 601 5 p,1.6,92.0,3,184000,Nafta,4,Delantera,2,5.0,Manual,2,4650.0,0,Argentina,Buenos Aires,Malvinas Argentinas,-34.4957338,-58.7001643
91,MLA1426404125,2012,Volkswagen,7,Gol,27,1.4 Power Ps+ac 83cv,1.4,83.0,5,110000,Nafta,4,Delantera,2,5.0,Manual,2,5500.0,0,Argentina,Buenos Aires,La Matanza,-34.8195526,-58.1975499
92,MLA1421783529,2008,Volkswagen,7,Gol,27,1.6 I Comfortline 60a,1.6,92.0,5,82000,Nafta,4,Delantera,2,5.0,Manual,2,6600.0,0,Argentina,Buenos Aires,Lanús,-34.7033363,-58.3953235
93,MLA1425694399,2012,Volkswagen,7,Gol,27,1.4 Power Ps+ac 83cv,1.4,83.0,5,71000,Nafta,4,Delantera,2,5.0,Manual,2,5800.0,0,Argentina,Buenos Aires,Hurlingham,-34.5933423,-58.6378405
94,MLA1407207903,2011,Volkswagen,7,Gol,27,1.4 Power Ps+ac 83cv,1.4,83.0,5,118000,Nafta,4,Delantera,2,5.0,Manual,2,5890.0,0,Argentina,Capital Federal,Capital Federal,-34.6037181,-58.38153
95,MLA1749192846,2011,Volkswagen,7,Gol,27,1.4 Power Ps+ac 83cv,1.4,83.0,5,178000,Nafta,4,Delantera,2,5.0,Manual,2,5418.326693227092,0,Argentina,Córdoba,Río Primero,-31.3409135,-63.6387403
96,MLA1416893755,2012,Volkswagen,7,Gol,27,1.4 Power Ps+ac 83cv,1.4,83.0,5,137716,Nafta,4,Delantera,2,5.0,Manual,2,6600.0,0,Argentina,Buenos Aires,Lanús,-34.7033363,-58.3953235
97,MLA1412443149,2008,Volkswagen,7,Gol,27,1.6 I Power 601,1.6,92.0,3,145000,Nafta,4,Delantera,2,5.0,Manual,2,5500.0,0,Argentina,Buenos Aires,Escobar,-34.3453213,-58.7950701
98,MLA1779006852,2009,Volkswagen,7,Gol,27,1.6 I Power 701,1.6,92.0,3,220000,Nafta,4,Delantera,2,5.0,Manual,2,3187.2509960159364,0,Argentina,Buenos Aires,La Matanza,-34.8195526,-58.1975499
99,MLA1410923735,2010,Volkswagen,7,Gol,27,1.6 I Power 701,1.6,92.0,3,130000,Nafta,4,Delantera,2,5.0,Manual,2,5500.0,0,Argentina,Capital Federal,Capital Federal,-34.6037181,-58.38153
100,MLA1753404862,2009,Volkswagen,7,Gol,27,1.6 I Power 601,1.6,92.0,3,192510,Nafta,4,Delantera,2,5.0,Manual,2,4557.768924302789,1,Argentina,Buenos Aires,La Plata,-34.9206797,-57.9537638
101,MLA1419165549,2012,Volkswagen,7,Gol,27,1.4 Power Ps+ac 83cv,1.4,83.0,5,106000,Nafta,4,Delantera,2,5.0,Manual,2,4621.5139442231075,0,Argentina,Buenos Aires,Roque Pérez,-35.3964431,-59.3312128
102,MLA1427828695,2010,Volkswagen,7,Gol,27,1.6 I Power 701,1.6,92.0,5,129000,Nafta,4,Delantera,2,5.0,Manual,2,6350.0,0,Argentina,Capital Federal,Capital Federal,-34.6037181,-58.38153
103,MLA1779998108,2007,Volkswagen,7,Gol,27,1.6 I Power 601,1.6,92.0,3,264000,Nafta,4,Delantera,2,5.0,Manual,2,3147.410358565737,0,Argentina,Capital Federal,Capital Federal,-34.6037181,-58.38153
104,MLA1767262530,2013,Volkswagen,7,Gol,27,1.4 Power 83cv 5 p,1.4,83.0,5,213500,Nafta/GNC,5,Delantera,2,5.0,Manual,2,6215.139442231076,0,Argentina,Buenos Aires,Pilar,-34.4570918,-58.9141609
105,MLA1423033985,2007,Volkswagen,7,Gol,27,1.6 I Power 601,1.6,92.0,3,130000,Nafta,4,Delantera,2,5.0,Manual,2,5500.0,0,Argentina,Buenos Aires,Quilmes,-34.7303025,-58.268868
106,MLA1734217984,2012,Volkswagen,7,Gol,27,1.4 Power Ps+ac 83cv,1.4,83.0,5,135000,Nafta,4,Delantera,2,5.0,Manual,2,4860.557768924303,0,Argentina,Buenos Aires,Ituzaingó,-34.6583293,-58.6671441
107,MLA1680826828,2012,Volkswagen,7,Gol,27,1.4 Power 83cv,1.4,83.0,3,142000,Nafta,4,Delantera,2,5.0,Manual,2,5409.561752988047,0,Argentina,Córdoba,Villa Carlos Paz,-31.4183774,-64.4936985
108,MLA1747915954,2013,Volkswagen,7,Gol,27,1.4 Power 83cv 3 p,1.4,83.0,3,82000,Nafta,4,Delantera,2,5.0,Manual,2,6294.02390438247,0,Argentina,Córdoba,Villa Carlos Paz,-31.4183774,-64.4936985
109,MLA1771676958,2012,Volkswagen,7,Gol,27,1.4 Power 83cv,1.4,83.0,3,129800,Nafta,4,Delantera,2,5.0,Manual,2,6800.0,0,Argentina,Buenos Aires,La Plata,-34.9206797,-57.9537638
110,MLA1424525753,1992,Volkswagen,7,Gol,27,1.6 Gl,1.6,90.0,3,119000,Nafta,4,Delantera,2,5.0,Manual,2,2867.7290836653387,0,Argentina,Capital Federal,Capital Federal,-34.6037181,-58.38153
111,MLA1415827947,2013,Volkswagen,7,Gol,27,1.4 Power Ps+ac 83cv,1.4,83.0,5,136000,Nafta,4,Delantera,2,5.0,Manual,2,5700.0,0,Argentina,Buenos Aires,General San Martín,-34.5762765,-58.5388435
112,MLA1773568952,1993,Volkswagen,7,Gol,27,1.6 Gl,1.6,90.0,3,150000,Nafta,4,Delantera,2,5.0,Manual,2,3500.0,0,Argentina,Buenos Aires,Lanús,-34.7033363,-58.3953235
113,MLA1765156256,2012,Volkswagen,7,Gol,27,1.4 Power Ps+ac 83cv,1.4,83.0,3,116800,Nafta,4,Delantera,2,5.0,Manual,2,6100.0,0,Argentina,Capital Federal,Capital Federal,-34.6037181,-58.38153
114,MLA1421763469,2013,Volkswagen,7,Gol,27,1.4 Power 83cv 5 p,1.4,83.0,5,118000,Nafta,4,Delantera,2,5.0,Manual,2,5258.964143426295,0,Argentina,Capital Federal,Capital Federal,-34.6037181,-58.38153
